Sentence #,Word,POS,Tag
Sentence: 5,اسلام آباد,PROPN,GPE
,(,PUNCT,OTH
,اسلام آباد,PROPN,GPE
,),PUNCT,OTH
,صدر,NOUN,OTH
,مملکت,ADJ,OTH
,ڈاکٹر,NOUN,OTH
,عارف علوی,PROPN,PER
,ءَ,ADP,OTH
,گشتگ,VERB,OTH
,کہ,CCONJ,OTH
,قومانی,NOUN,OTH
,جوڑ,NOUN,OTH
,کنگ,VERB,OTH
,ءَ,ADP,OTH
,چہ,ADP,OTH
,ادارگانی,NOUN,OTH
,کرد,NOUN,OTH
,جوان,ADJ,OTH
,انت,AUX,OTH
,.,PUNCT,OTH
Sentence: 6,ٹیکنالوجی,NOUN,OTH
,ءِ,ADP,OTH
,راہبند,NOUN,OTH
,ہم,CCONJ,OTH
,نوک تاں سر,ADJ,OTH
,کنگ,VERB,OTH
,ءِ,ADP,OTH
,ذریعہ,NOUN,OTH
,ءَ,ADP,OTH
,عہد حاضر,NOUN,OTH
,ءَ,ADP,OTH
,علم,NOUN,OTH
,ءِ,ADP,OTH
,راہبند,NOUN,OTH
,ءِ,ADP,OTH
,لوٹاں,NOUN,OTH
,تیزی,ADV,OTH
,ءَ,ADP,OTH
,چہ,ADP,OTH
,گیش,ADJ,OTH
,بوھگ,VERB,OTH
,ءَ,ADP,OTH
,انت,AUX,OTH
,.,PUNCT,OTH
Sentence: 7,ایوان صدر,NOUN,OTH
,ءِ,ADP,OTH
,پریس ونگ,NOUN,OTH
,ءَ,ADP,OTH
,چہ,ADP,OTH
,برجائیں,ADJ,OTH
,بیان,NOUN,OTH
,ءِ,ADP,OTH
,ردءَ,ADJ,OTH
,صدر مملکت,NOUN,OTH
,ءَ,ADP,OTH
,اے,DET,OTH
,حیالانی,NOUN,OTH
,درشا,ADJ,OTH
,چارشمبے,PROPN,DATE
,ءَ,ADP,OTH
,فیصل ایئر بیس,PROPN,LOC
,کراچی,PROPN,GPE
,ءَ,ADP,OTH
,35می,ADJ,ORDINAL
,ایئر وار کورس,NOUN,OTH
,ءِ,ADP,OTH
,گریجویشن,NOUN,OTH
,مراگہ,NOUN,OTH
,ءَ,ADP,OTH
,چہ,ADP,OTH
,تران کنان,NOUN,OTH
,ءَ,ADP,OTH
,کرتگ,VERB,OTH
,.,PUNCT,OTH
Sentence: 8,صدر مملکت,NOUN,OTH
,ءَ,ADP,OTH
,گشتگ,VERB,OTH
,کہ,CCONJ,OTH
,دنیا,NOUN,OTH
,ءِ,ADP,OTH
,ہر,DET,OTH
,مسئلہ,NOUN,OTH
,مشورہ,NOUN,OTH
,ءَ,ADP,OTH
,چہ,ADP,OTH
,گیشینگ,VERB,OTH
,بیت,AUX,OTH
,.,PUNCT,OTH
Sentence: 9,الس,NOUN,OTH
,ءُ,CCONJ,OTH
,جذبہ,NOUN,OTH
,ءَ,ADP,OTH
,چہ,ADP,OTH
,قوم,NOUN,OTH
,جوڑ,NOUN,OTH
,بنت,AUX,OTH
,.,PUNCT,OTH
Sentence: 10,افرادی,ADJ,OTH
,قوت,NOUN,OTH
,قومی,ADJ,OTH
,دیمروئی,NOUN,OTH
,ءِ,ADP,OTH
,سیڑھی,NOUN,OTH
,انت,AUX,OTH
,.,PUNCT,OTH
Sentence: 11,آئیءَ,PRON,OTH
,گشتگ,VERB,OTH
,کہ,CCONJ,OTH
,جمہوریت,NOUN,OTH
,ءِ,ADP,OTH
,علمبردار,ADJ,OTH
,قوماں,NOUN,OTH
,پناہ گیرانی,NOUN,OTH
,معاملہ,NOUN,OTH
,ءَ,ADP,OTH
,در سنگین,ADJ,OTH
,انت,AUX,OTH
,.,PUNCT,OTH
Sentence: 12,بد بدی,ADJ,OTH
,ءَ,ADP,OTH
,چہ,ADP,OTH
,بالا تر,ADJ,OTH
,بہوان,VERB,OTH
,ءَ,ADP,OTH
,دیرموئی,VERB,OTH
,ءِ,ADP,OTH
,منازل,NOUN,OTH
,گیشینگ,VERB,OTH
,بیت,AUX,OTH
,انت,AUX,OTH
,.,PUNCT,OTH
Sentence: 13,مسلم امہ,PROPN,NORP
,اخلاقی,ADJ,OTH
,اقدار,NOUN,OTH
,ءَ,ADP,OTH
,سدکی,ADV,OTH
,داریت,AUX,OTH
,.,PUNCT,OTH
Sentence: 14,صدر,NOUN,OTH
,ڈاکٹر,NOUN,OTH
,عارف علوی,PROPN,PER
,ءَ,ADP,OTH
,اے,DET,OTH
,گپ,NOUN,OTH
,ءِ,ADP,OTH
,سرا,ADV,OTH
,زور,NOUN,OTH
,داتگ,VERB,OTH
,کہ,CCONJ,OTH
,مارا,PRON,OTH
,ابید,ADV,OTH
,رنگ,NOUN,OTH
,ءُ,CCONJ,OTH
,نسل,NOUN,OTH
,ءُ,CCONJ,OTH
,فرق,NOUN,OTH
,ءُ,CCONJ,OTH
,تیاوت,NOUN,OTH
,ءِ,ADP,OTH
,ظلمانی,NOUN,OTH
,پلہ مرزی,ADJ,OTH
,برجا,NOUN,OTH
,دارگ,VERB,OTH
,بیت,AUX,OTH
,انت,AUX,OTH
,.,PUNCT,OTH
Sentence: 15,،,PUNCT,OTH
,دیمروئی,NOUN,OTH
,ءِ,ADP,OTH
,راہبند,NOUN,OTH
,ءَ,ADP,OTH
,انسانیت,NOUN,OTH
,ءِ,ADP,OTH
,اولی,ADJ,OTH
,گامگیج,NOUN,OTH
,بوھگ,VERB,OTH
,لوٹیت,AUX,OTH
,انت,AUX,OTH
,.,PUNCT,OTH
Sentence: 16,آئیءَ,PRON,OTH
,گشتگ,VERB,OTH
,کہ,CCONJ,OTH
,قوم,NOUN,OTH
,حادثاتی,ADV,OTH
,وڑءَ,ADP,OTH
,دیمروئی,NOUN,OTH
,نہ,ADV,OTH
,کنت,VERB,OTH
,.,PUNCT,OTH
Sentence: 17,اے,DET,OTH
,حاترا,NOUN,OTH
,مزنیں,ADJ,OTH
,نوکیں,ADJ,OTH
,جہد,NOUN,OTH
,ءُ,CCONJ,OTH
,جہد,NOUN,OTH
,لازمی,ADJ,OTH
,انت,AUX,OTH
,.,PUNCT,OTH
Sentence: 18,مصنوعی,ADJ,OTH
,ذہانت,NOUN,OTH
,وڑیں,ADP,OTH
,علوم,NOUN,OTH
,ءَ,ADP,OTH
,چہ,ADP,OTH
,ہمگرنچ,ADV,OTH
,بوھگ,VERB,OTH
,وھد,NOUN,OTH
,ءِ,ADP,OTH
,ضرورت,NOUN,OTH
,انت,AUX,OTH
,.,PUNCT,OTH
Sentence: 19,مکہ مکرمہ,PROPN,GPE
,(,PUNCT,OTH
,این این آئی,PROPN,ORG
,),PUNCT,OTH
,ڈائریکٹر,NOUN,OTH
,مکہ,PROPN,GPE
,ساجد منظوری اسدی,PROPN,PER
,ءَ,ADP,OTH
,گشتگ,VERB,OTH
,کہ,CCONJ,OTH
,جج مشن مکہ,PROPN,ORG
,ءَ,ADP,OTH
,پاکستان,PROPN,GPE
,ءَ,ADP,OTH
,حاجیانی,NOUN,OTH
,حاترا,NOUN,OTH
,پنچ شمبے,PROPN,DATE
,ءِ,ADP,OTH
,نزیک,ADJ,OTH
,ءَ,ADP,OTH
,اولڈ منی,PROPN,LOC
,ءَ,ADP,OTH
,جاگہ,NOUN,OTH
,رسیت,VERB,OTH
,انت,AUX,OTH
,.,PUNCT,OTH
Sentence: 20,حاجیاں,NOUN,OTH
,واتری,NOUN,OTH
,ءِ,ADP,OTH
,ھاترا,ADP,OTH
,اولی,ADJ,OTH
,رند,NOUN,OTH
,ءَ,ADP,OTH
,روٹ ٹومکہ پروجیکٹ,PROPN,OTH
,ءِ,ADP,OTH
,ردءَ,ADJ,OTH
,وطن,NOUN,OTH
,واتری,NOUN,OTH
,ءِ,ADP,OTH
,ھاترا,ADP,OTH
,ہوم چیک ان,NOUN,OTH
,ءِ,ADP,OTH
,آسراتی,NOUN,OTH
,بیت,AUX,OTH
,انت,AUX,OTH
,.,PUNCT,OTH
Sentence: 21,گوست,NOUN,OTH
,ءِ,ADP,OTH
,وڑءَ,ADP,OTH
,آئیءَ,PRON,OTH
,شانزدہ,ADJ,OTH
,کلاک,NOUN,OTH
,پیسر,ADP,OTH
,ایئر پورٹ,NOUN,OTH
,سر,ADV,OTH
,بوھگءِ,VERB,OTH
,ضرورت,NOUN,OTH
,نہ,ADV,OTH
,بیت,AUX,OTH
,انت,AUX,OTH
,.,PUNCT,OTH
Sentence: 22,چارشمبیءَ,PROPN,DATE
,یک,NUM,CARDINAL
,انٹرویو,NOUN,OTH
,ءَ,ADP,OTH
,آئیءَ,PRON,OTH
,گشتگ,VERB,OTH
,کہ,CCONJ,OTH
,حج,PROPN,LOC
,2022ءِ,NUM,DATE
,وھدءَ,NOUN,OTH
,حج مشن مکہ,PROPN,ORG
,ءَ,ADP,OTH
,پاکستانی,ADJ,OTH
,حاجیاں,NOUN,OTH
,روٹ ٹومکہ پروجیکٹ,PROPN,OTH
,ءِ,ADP,OTH
,ردءَ,ADJ,OTH
,نہ,ADV,OTH
,ایوک,ADJ,OTH
,ءَ,ADP,OTH
,پاکستان,PROPN,GPE
,ءَ,ADP,OTH
,چہ,ADP,OTH
,سعودی عرب,PROPN,GPE
,آھگ,VERB,OTH
,ءَ,ADP,OTH
,بلکہ,ADV,OTH
,آئیءِ,PRON,OTH
,واتری,NOUN,OTH
,ءِ,ADP,OTH
,ھاترا,ADP,OTH
,ہوم چیک ان,NOUN,OTH
,ءِ,ADP,OTH
,آسراتی,NOUN,OTH
,ءِ,ADP,OTH
,پجارینگ,VERB,OTH
,ءَ,ADP,OTH
,وتی,PRON,OTH
,کرد,NOUN,OTH
,پیلو,ADV,OTH
,کرتگ,VERB,OTH
,.,PUNCT,OTH
Sentence: 23,آئیءَ,PRON,OTH
,گشتگ,VERB,OTH
,کہ,CCONJ,OTH
,منی,PROPN,OTH
,درائیں,ADJ,OTH
,پاکستان,PROPN,GPE
,حاجیاں,NOUN,OTH
,پنچ شمبے,PROPN,DATE
,نزیک,ADJ,OTH
,اولڈ منی,PROPN,LOC
,ءَ,ADP,OTH
,دارگ,VERB,OTH
,بیت,AUX,OTH
,.,PUNCT,OTH
Sentence: 24,ءُ,CCONJ,OTH
,اودءَ,ADV,OTH
,آئیءَ,PRON,OTH
,ورگ,NOUN,OTH
,پجارینگءِ,VERB,OTH
,ھاترا,ADP,OTH
,پاکستانی,ADJ,OTH
,کیٹرنگ کمپنیانی,NOUN,OTH
,ھزمت,NOUN,OTH
,زورگ,VERB,OTH
,بیت,AUX,OTH
,انت,AUX,OTH
,.,PUNCT,OTH
Sentence: 25,اسلام آباد,PROPN,GPE
,(,PUNCT,OTH
,این این آئی,PROPN,ORG
,),PUNCT,OTH
,مزن وزیر,NOUN,OTH
,آزاد کشمیر,PROPN,GPE
,سردار,NOUN,OTH
,ءَ,ADP,OTH
,افغانستان,PROPN,GPE
,ءِ,ADP,OTH
,زمین جمب,NOUN,OTH
,اثرمندانی,ADJ,OTH
,حاترا,ADP,OTH
,دہ,NUM,CARDINAL
,کروڑ,NUM,CARDINAL
,کلدار,NOUN,OTH
,ءِ,ADP,OTH
,کمک,NOUN,OTH
,ءِ,ADP,OTH
,منظوری,ADV,OTH
,داتگ,VERB,OTH
,.,PUNCT,OTH
Sentence: 26,برجائیں,ADJ,OTH
,جار,NOUN,OTH
,ءِ,ADP,OTH
,ردءَ,ADJ,OTH
,آزاد کشمیر,PROPN,GPE
,کابینہ,NOUN,OTH
,ءُ,CCONJ,OTH
,مزنیں,ADJ,OTH
,بیورکریسی,NOUN,OTH
,ءَ,ADP,OTH
,ہم,CCONJ,OTH
,یک,NUM,CARDINAL
,ماہ,NOUN,OTH
,ءِ,ADP,OTH
,پگار,NOUN,OTH
,داتگ,VERB,OTH
,انت,AUX,OTH
,.,PUNCT,OTH
Sentence: 27,مزن وزری,NOUN,OTH
,آزا دکشمیر,PROPN,GPE
,سردار تنویر الیاس,PROPN,PER
,ءَ,ADP,OTH
,گشتگ,VERB,OTH
,کہ,CCONJ,OTH
,افغانستان,PROPN,GPE
,ءَ,ADP,OTH
,انوگیں,ADJ,OTH
,زمین جمب,NOUN,OTH
,ءِ,ADP,OTH
,آسر,ADV,OTH
,ءَ,ADP,OTH
,بوتگیں,ADJ,OTH
,جانی,ADJ,OTH
,ءُ,CCONJ,OTH
,مالی,ADJ,OTH
,تاوان,NOUN,OTH
,ءَ,ADP,OTH
,سرجمیں,ADJ,OTH
,قوم,NOUN,OTH
,رنجیدہ,ADJ,OTH
,انت,AUX,OTH
,.,PUNCT,OTH
Sentence: 28,آئیءَ,PRON,OTH
,گشتگ,VERB,OTH
,کہ,CCONJ,OTH
,پاکستان,PROPN,GPE
,ءُ,CCONJ,OTH
,افغانستان,PROPN,GPE
,ءِ,ADP,OTH
,یک,NUM,CARDINAL
,جان,NOUN,OTH
,ءُ,CCONJ,OTH
,دو,NUM,CARDINAL
,قالب,NOUN,OTH
,انت,AUX,OTH
,.,PUNCT,OTH
Sentence: 29,آزاد کشمیر,PROPN,GPE
,پاکستان,PROPN,GPE
,ءِ,ADP,OTH
,یک,NUM,CARDINAL
,دہک,NOUN,OTH
,انت,AUX,OTH
,.,PUNCT,OTH
Sentence: 30,آئیءَ,PRON,OTH
,گشتگ,VERB,OTH
,کہ,CCONJ,OTH
,رنج,NOUN,OTH
,ءِ,ADP,OTH
,اے,DET,OTH
,وھدءَ,NOUN,OTH
,قوم,NOUN,OTH
,افغان,ADJ,OTH
,براتانی,NOUN,OTH
,حاترا,ADP,OTH
,اوشتاتگ,VERB,OTH
,انت,AUX,OTH
,.,PUNCT,OTH
Sentence: 31,مزن وزیر,NOUN,OTH
,ءَ,ADP,OTH
,گشتگ,VERB,OTH
,کہ,CCONJ,OTH
,آزاد کشمیر,PROPN,GPE
,حکومت,NOUN,OTH
,افغان,ADJ,OTH
,براتانی,NOUN,OTH
,حاترا,ADP,OTH
,کمک,NOUN,OTH
,ءِ,ADP,OTH
,ھاترا,ADP,OTH
,دہ,NUM,CARDINAL
,کروڑ,NUM,OTH
,کلدار,NOUN,OTH
,ءِ,ADP,OTH
,افغانستان,PROPN,GPE
,ءَ,ADP,OTH
,دیم,ADV,OTH
,دنت,VERB,OTH
,.,PUNCT,OTH
Sentence: 32,مزن وزری,NOUN,OTH
,آزادی کشمیر,PROPN,GPE
,ءَ,ADP,OTH
,گشتگ,VERB,OTH
,کہ,CCONJ,OTH
,کمک,NOUN,OTH
,دیم,ADV,OTH
,دئیگ,VERB,OTH
,ءِ,ADP,OTH
,راہبند,NOUN,OTH
,کار,NOUN,OTH
,کارگس,NOUN,OTH
,،,PUNCT,OTH
,قومی,ADJ,OTH
,سلامتی,NOUN,OTH
,ءِ,ADP,OTH
,ادارگاں,NOUN,OTH
,چہ,ADP,OTH
,مشورہ,NOUN,OTH
,ءِ,ADP,OTH
,گوں,ADV,OTH
,گیشینگ,VERB,OTH
,بیت,AUX,OTH
,انت,AUX,OTH
,.,PUNCT,OTH
Sentence: 33,اسلام آباد,PROPN,GPE
,(,PUNCT,OTH
,این این آئی,PROPN,ORG
,),PUNCT,OTH
,یک,NUM,CARDINAL
,جولائی,PROPN,DATE
,ءَ,ADP,OTH
,چہ,ADP,OTH
,پنچ,NUM,CARDINAL
,جولائی,PROPN,DATE
,تاں,ADP,OTH
,کراچی,PROPN,GPE
,،,PUNCT,OTH
,حیدر آباد,PROPN,GPE
,،,PUNCT,OTH
,بدین,PROPN,GPE
,ءُ,CCONJ,OTH
,ٹھٹہ,PROPN,GPE
,ءَ,ADP,OTH
,ھور,NOUN,OTH
,ءِ,ADP,OTH
,امیت,NOUN,OTH
,انت,AUX,OTH
,.,PUNCT,OTH
Sentence: 34,اے,DET,OTH
,بابتءَ,ADV,OTH
,چہ,ADP,OTH
,پروونشل ڈیزاسٹر منیجمنٹ اتھارٹی پی ڈی ایم اے,PROPN,ORG
,ءَ,ADP,OTH
,ایڈوائزی,NOUN,OTH
,برجا,ADV,OTH
,کرتگ,VERB,OTH
,.,PUNCT,OTH
Sentence: 35,رسانکدر,NOUN,OTH
,رپورٹس,NOUN,OTH
,ءِ,ADP,OTH
,ردءَ,ADJ,OTH
,ہورانی,NOUN,OTH
,سبب,NOUN,OTH
,ءَ,ADP,OTH
,چہ,ADP,OTH
,پنچ,NUM,CARDINAL
,جولائی,PROPN,DATE
,ءَ,ADP,OTH
,تاں,ADP,OTH
,کراچی,PROPN,GPE
,ءُ,CCONJ,OTH
,حیدر آباد,PROPN,OTH
,ءَ,ADP,OTH
,اربن فلڈ,NOUN,OTH
,حطرہ,NOUN,OTH
,انت,AUX,OTH
,.,PUNCT,OTH
Sentence: 36,پی ڈی ایم اے,PROPN,ORG
,سندھ,PROPN,GPE
,ءَ,ADP,OTH
,تعلقداراں,ADJ,OTH
,ایڈوائزر,NOUN,OTH
,برجا کنان,NOUN,OTH
,ءَ,ADP,OTH
,گشتگ,VERB,OTH
,کہ,CCONJ,OTH
,انتظامیہ اربن فلڈنگ,NOUN,OTH
,ءُ,CCONJ,OTH
,دگہ,ADJ,OTH
,حطرہ,NOUN,OTH
,ءَ,ADP,OTH
,چہ,ADP,OTH
,دیم پہ دیم,ADJ,OTH
,ءِ,ADP,OTH
,ھاترا,ADP,OTH
,تیار,ADJ,OTH
,بیت,AUX,OTH
,.,PUNCT,OTH
Sentence: 37,پی ڈی ایم اے,PROPN,ORG
,ءِ,ADP,OTH
,ردءَ,ADJ,OTH
,نکاسی آپ,NOUN,OTH
,ءِ,ADP,OTH
,ھاترا,ADP,OTH
,کارہندہانی,NOUN,OTH
,گوں,ADP,OTH
,سدکی,ADV,OTH
,جوڑ,NOUN,OTH
,کنگ,VERB,OTH
,جوڑ,NOUN,OTH
,کنگ,VERB,OTH
,لوٹیت,AUX,OTH
,،,PUNCT,OTH
,ضرورت مندانی,NOUN,OTH
,کمک,NOUN,OTH
,ءِ,ADP,OTH
,ھاترا,ADP,OTH
,ایمرجنسی ہلپ لائن,NOUN,OTH
,،,PUNCT,OTH
,ہسپتال,NOUN,OTH
,ءَ,ADP,OTH
,بجلی,NOUN,OTH
,ءِ,ADP,OTH
,پجارینگ,VERB,OTH
,ءِ,ADP,OTH
,ھاترا,ADP,OTH
,جنرینٹر,NOUN,OTH
,ءُ,CCONJ,OTH
,دگہ,ADJ,OTH
,بند,NOUN,OTH
,ءُ,CCONJ,OTH
,بوج,NOUN,OTH
,کنگ,VERB,OTH
,بیت,AUX,OTH
,.,PUNCT,OTH
Sentence: 38,پی ڈی ایم اے,PROPN,ORG
,ءِ,ADP,OTH
,نیمگءَ,ADP,OTH
,چہ,ADP,OTH
,چاگیر داراں,NOUN,OTH
,سہ,NUM,CARDINAL
,تاں,ADP,OTH
,پنچ,NUM,CARDINAL
,جولائی,PROPN,DATE
,تاں,ADP,OTH
,زرءَ,ADV,OTH
,گوزگ,VERB,OTH
,ءِ,ADP,OTH
,گریز,NOUN,OTH
,کنگ,VERB,OTH
,ءِ,ADP,OTH
,پنتءُ شون,NOUN,OTH
,کنگ,VERB,OTH
,بوتگ,VERB,OTH
,.,PUNCT,OTH
Sentence: 39,اسلام آباد,PROPN,GPE
,(,PUNCT,OTH
,این این آئی,PROPN,ORG
,),PUNCT,OTH
,وانگ,NOUN,OTH
,ءُ,CCONJ,OTH
,زانگ,NOUN,OTH
,ءِ,ADP,OTH
,وزیر,NOUN,OTH
,تنوریر حسین,PROPN,PER
,ءَ,ADP,OTH
,گشتگ,VERB,OTH
,کہ,CCONJ,OTH
,قائد اعظم یونیورسٹی,PROPN,ORG
,ہر,DET,OTH
,ادارگ,NOUN,OTH
,ءَ,ADP,OTH
,گہتریں,ADJ,OTH
,کار,NOUN,OTH
,کنگ,VERB,OTH
,ءَ,ADP,OTH
,انت,AUX,OTH
,.,PUNCT,OTH
Sentence: 40,مراگہ,NOUN,OTH
,ءَ,ADP,OTH
,چہ,ADP,OTH
,تران کنان,NOUN,OTH
,ءَ,ADP,OTH
,آئیءَ,PRON,OTH
,گشتگ,VERB,OTH
,کہ,CCONJ,OTH
,یونیورسٹی,NOUN,OTH
,نودربرانی,NOUN,OTH
,نیمگءَ,ADP,OTH
,چہ,ADP,OTH
,ردیں,ADJ,OTH
,سرءُ پر,NOUN,OTH
,ءِ,ADP,OTH
,سرا,ADV,OTH
,افسوس,NOUN,OTH
,بیت,AUX,OTH
,انت,AUX,OTH
,.,PUNCT,OTH
Sentence: 41,نودربرانی,NOUN,OTH
,جیڑہ,NOUN,OTH
,بنت,AUX,OTH
,بلے,CCONJ,OTH
,آہان,PRON,OTH
,جواڑیں,ADJ,OTH
,وڑءَ,ADJ,OTH
,حل,NOUN,OTH
,کنگ,VERB,OTH
,لوٹیت,AUX,OTH
,.,PUNCT,OTH
Sentence: 42,آئیءَ,PRON,OTH
,گشتگ,VERB,OTH
,کہ,CCONJ,OTH
,لہتیں,ADJ,OTH
,روچاں,NOUN,OTH
,قائد اعظم یونیورسٹی,PROPN,ORG
,ءَ,ADP,OTH
,ہم,CCONJ,OTH
,ویل,ADV,OTH
,بوتگ,VERB,OTH
,ات,AUX,OTH
,.,PUNCT,OTH
Sentence: 43,آ,PRON,OTH
,افسوسناک,ADJ,OTH
,انت,AUX,OTH
,.,PUNCT,OTH
Sentence: 44,آئیءَ,PRON,OTH
,گشتگ,VERB,OTH
,کہ,CCONJ,OTH
,یونیورسٹی,NOUN,OTH
,ءَ,ADP,OTH
,چہ,ADP,OTH
,لیڈرشپ,NOUN,OTH
,دیم,ADV,OTH
,ءَ,ADP,OTH
,کیت,VERB,OTH
,انت,AUX,OTH
,.,PUNCT,OTH
Sentence: 45,جاوید ہاشمی,PROPN,PER
,،,PUNCT,OTH
,جہانگیر بدر,PROPN,PER
,ءُ,CCONJ,OTH
,شیخ رشید,PROPN,PER
,اسٹوڈنس,NOUN,OTH
,لیڈر,NOUN,OTH
,ات,AUX,OTH
,بلے,CCONJ,OTH
,افسوس,NOUN,OTH
,انت,AUX,OTH
,شیخ رشید,PROPN,PER
,ءِ,ADP,OTH
,حیل,NOUN,OTH
,جوان,ADJ,OTH
,نہ,ADV,OTH
,بوتگ,VERB,OTH
,.,PUNCT,OTH
Sentence: 46,آئیءَ,PRON,OTH
,گشتگ,VERB,OTH
,کہ,CCONJ,OTH
,ما,PRON,OTH
,سیاست,NOUN,OTH
,ءَ,ADP,OTH
,مہلوک,NOUN,OTH
,ءَ,ADP,OTH
,سبز,ADJ,OTH
,باغ,NOUN,OTH
,پیش داراں,VERB,OTH
,.,PUNCT,OTH
Sentence: 47,مریم اورنگزیب,PROPN,OTH
,گوشیت,VERB,OTH
,انت,AUX,OTH
,من,PRON,OTH
,گشان,VERB,OTH
,کہ,CCONJ,OTH
,پیسرءَ,ADV,OTH
,باسک پارلیمنٹ,PROPN,ORG
,ءَ,ADP,OTH
,بیا,VERB,OTH
,حیل,NOUN,OTH
,بدی ات,VERB,OTH
,.,PUNCT,OTH
Sentence: 48,اسلام آباد,PROPN,GPE
,(,PUNCT,OTH
,این این آئی,PROPN,ORG
,),PUNCT,OTH
,حالرسانیءِ,NOUN,OTH
,وزیر,NOUN,OTH
,مریم اورنگزیب,PROPN,PER
,ءَ,ADP,OTH
,گشتگ,VERB,OTH
,کہ,CCONJ,OTH
,قوم,NOUN,OTH
,پاکستان,PROPN,GPE
,ءِ,ADP,OTH
,75سال,NOUN,OTH
,سرجم,ADJ,OTH
,ءِ,ADP,OTH
,ڈائمنڈ جوبلی,NOUN,OTH
,ءِ,ADP,OTH
,وشیاں,NOUN,OTH
,ءُ,CCONJ,OTH
,مراد بادیاں,NOUN,OTH
,عزم,NOUN,OTH
,حالی,ADJ,OTH
,شاہ,NOUN,OTH
,،,PUNCT,OTH
,شادررہے,X,OTH
,پاکستان,PROPN,GPE
,،,PUNCT,OTH
,ءِ,ADP,OTH
,سرحال,NOUN,OTH
,ءَ,ADP,OTH
,حاصیں,ADJ,OTH
,’ ’,PUNCT,OTH
,لوگو,NOUN,OTH
,‘ ‘,PUNCT,OTH
,برجا,ADV,OTH
,کرتگ,VERB,OTH
,.,PUNCT,OTH
Sentence: 49,وتی,PRON,OTH
,بیان,NOUN,OTH
,ءَ,ADP,OTH
,حالرسانی,NOUN,OTH
,وزیر,NOUN,OTH
,ءَ,ADP,OTH
,گشتگ,VERB,OTH
,کہ,CCONJ,OTH
,ءَ,ADP,OTH
,اے,DET,OTH
,پاکستان,PROPN,GPE
,ءَ,ADP,OTH
,چہ,ADP,OTH
,مہر,NOUN,GPE
,ءُ,CCONJ,OTH
,اے,DET,OTH
,جزم,NOUN,OTH
,ءِ,ADP,OTH
,نوک,ADJ,OTH
,انت,AUX,OTH
,کہ,CCONJ,OTH
,مئے,PRON,OTH
,بہادر,ADJ,OTH
,ءُ,CCONJ,OTH
,مزنیں,ADJ,OTH
